clause,clauseid,resid,actor,regularized_actors,sentiment_label,active_ind,recoded
"Demands the earliest possible reconvening, without preconditions, of substantive peace talks, under OAU auspices, on the basis of the Framework Agreement and the Modalities and of the work conducted by the OAU as recorded in its Communiqu issued by its current Chairman of 5 May 2000 (S/2000/394);",411,1297,Conflict parties,['Conflict Parties'],[-1],1,1
Recalls its decision that individuals and entities seeking removal from the List without the sponsorship of a Member State are eligible to submit such requests to the Focal Point mechanism established in resolution 1730 (2006);,477,2255,terrorists,['Terrorists'],[0],1,1
"Decides that the provisions introduced by paragraph 1 above will apply to the 1267/1989/2253 ISIL (Daesh) and Al-Qaida sanctions regime for a period of two years from the date of adoption of this resolution, and expresses its intent to make a decision on the extension of its application to that regime prior to the date on which its application to that regime would otherwise expire, emphasizes the role of the 1267/1989/2253 Sanctions Committee in monitoring the implementation of paragraph 1 of this resolution as per paragraph 6, calls upon all States to cooperate fully with that Committee and its Analytical Support and Sanctions Monitoring Team established pursuant to resolution 1526 (2004) in the fulfillment of its tasks, including supplying such information as may be required by that Committee in that respect, and emphasizes the importance of this Councils consideration of any information, including that provided by the Committee or Monitoring Team, regarding implementation of the measures imposed by resolution 1267 (1999) and other relevant resolutions, including possible violations thereof, as well as briefings received from the United Nations Emergency Relief Coordinator (ERC) as per paragraph 5 of this resolution;",513,2664,terrorists,['Terrorists'],[-1],1,1
"Expresses its concern that the travel ban and asset freeze on designated individuals is not being implemented by all Member States, requests the Panel to share with the Committee any information regarding possible non-compliance with the travel ban and asset freeze as soon as possible, and directs the Committee to respond effectively to any reports of non-compliance by Member States with paragraph 3 of resolution 1591 (2005) and resolution 1672 (2006), including by engaging immediately with all relevant parties;",729,2200,Member states,"['Member States', 'SC Sanctions Committee']","[-1, 0]",1,1
"Recalls that individuals and entities who plan, sponsor or participate in such attacks constitute a threat to stability in Darfur and may therefore meet the designation criteria provided for in paragraphs 3 (c) of resolution 1591 (2005), and expresses its intention to impose targeted sanctions on individuals and entities who plan, sponsor or participate in such attacks;",737,2200,terrorists,['Terrorists'],[-1],1,1
"Strongly condemning incidents of kidnapping and hostage-taking committed by terrorist groups for any purpose, including with the aim of raising funds or gaining political concessions, deeply concerned by the increase in such kidnappings, and underscoring the urgent need to address this issue,",962,2129,terrorists,['Terrorists'],[-1],1,1
"Reiterating its call on all parties to cooperate fully with MONUSCO and to remain committed to the full and objective implementation of the Missions mandate, reiterating its condemnation of any and all attacks against peacekeepers, and emphasizing that those responsible for such attacks must be held accountable,",1103,2409,Conflict parties,"['Conflict Parties', 'Peacekeeping']","[-1, 0]",1,1
"Condemning the illicit flows of arms and related materiel of all types, in violation of Council-mandated arms embargoes, including when they result in supplies to and between non-State actors, including terrorists and criminals, and when they undermine the sovereignty and territorial integrity of Member States, as a serious threat to peace and stability, and calling upon Member States to prevent and disrupt procurement networks for such weapons,",1188,2616,Regional stakeholders,"['Non-State Actors', 'Terrorists']","[-1, -1]",1,1
"Noting with concern that terrorists and terrorist groups continue to use the Internet for terrorist purposes, and stressing the need for Member States to act cooperatively when taking national measures to prevent terrorists from exploiting technology and communications for terrorist acts, as well as to continue voluntary cooperation with private sector and civil society to develop and implement more effective means to counter the use of the Internet for terrorist purposes, including by developing counter-terrorist narratives and through innovative technological solutions, all while respecting human rights and fundamental freedoms and in compliance with domestic and international law, and taking note of the industry led Global Internet Forum to Counter Terrorism (GIFCT) and calling for the GIFCT to continue to increase engagement with governments and technology companies globally,",1283,2396,terrorists,"['Terrorists', 'Member States']","[-1, 0]",1,1
"Strongly condemns attacks committed by armed groups of the Coalition des patriotes pour le changement (CPC), and requests the Panel, in the course of carrying out its mandate, to consider proposing or updating further statements of cases for possible designation pursuant to paragraphs 20 to 21 of resolution 2399 (2018);",1837,2693,terrorists,"['Terrorists', 'SC Sanctions Committee']","[-1, 0]",1,1
"Strongly condemning the December 2018 obstruction, detention and abuse of the CTSAMVM team by GoSS officials, and calling upon the GoSS to complete and publish its investigations and hold those responsible to account,",2073,2459,Govt,['Government'],[-1],1,1
"Further acknowledging the urgent need to address the challenge of illicit financial flows to Haiti enabling armed gangs to operate and posing a growing threat to the countrys stability, including by prioritizing breaking links between political and economic actors and gangs,",2376,2645,terrorists,['Terrorists'],[-1],1,1
"Stresses the obligation on both parties to scrupulously and fully respect the terms of the 1974 Disengagement of Forces Agreement, calls on the parties to exercise maximum restraint and prevent any breaches of the ceasefire and the area of separation, encourages the parties to take full advantage of UNDOFs liaison function regularly to address issues of mutual concern, as appropriate, and to maintain their liaison with UNDOF to prevent any escalation of the situation across the ceasefire line, as well as to support the enhancement of the UNDOF liaison function, and underscores that there should be no military activity of any kind in the area of separation, including military operations by the Syrian Arab Armed Forces;",2672,2737,Conflict parties,"['Conflict Parties', 'Peacekeeping']","[-1, 1]",1,1
"Gravely distressed by the continued deterioration of the devastating humanitarian situation in Syria and by the fact that now more than 12.2 million people in Syria of whom 7.6 million are internally displaced, 4.5 million are living in hard-to-reach areas and 212,000 are trapped in besieged areas, including Palestinian refugees require urgent humanitarian assistance, including medical assistance, and noting with concern that approximately one million more people have been displaced within Syria since the adoption of resolution 2165 (2014),",3182,2191,Conflict parties,"['Conflict Parties', 'Refugees']","[-1, 0]",1,1
"Demands that all parties to the Syrian domestic conflict, in particular the Syrian authorities, immediately comply with their obligations under international humanitarian law and international human rights law, and fully and immediately implement all the provisions of Security Council resolutions 2139 (2014) and 2165 (2014) and the Presidential Statement of 2 October 2013 (S/PRST/2013/15), and recalls that some of the violations and abuses committed in Syria may amount to war crimes and crimes against humanity;",3195,2191,Conflict parties,['Conflict Parties'],[-1],1,1
"Demands that all parties ensure timely, safe and unhindered access of all humanitarian actors and comply fully with their obligations under international law, including international humanitarian law, human rights law and refugee law;",3252,1856,Conflict parties,['Conflict Parties'],[-1],1,1
"Reaffirming that all parties, including armed groups and militias, must respect human rights and abide by all applicable obligations under international humanitarian law, including those to protect the civilian population, including civilians displaced from and returning to areas liberated from ISIL (Daesh), by which both official Iraqi forces and Member States that assist them must also abide, and while acknowledging legitimate security measures to identify members of ISIL (Daesh), calling on all parties to immediately release any arbitrarily or unlawfully detained persons, emphasizing that those responsible for violations of international humanitarian law and violations and abuses of human rights, including those involving sexual and gender-based violence, must be held accountable, welcoming the establishment by Prime Minister of Iraq Haider al-Abadi of a committee to investigate reported violations and abuses, including the reports of missing men and boys from Fallujah, and stressing the need for all such allegations, wherever they occur, to be immediately and comprehensively investigated and, as appropriate, prosecuted,",3262,2299,Conflict parties,"['Conflict Parties', 'Terrorists', 'Government', 'Member States']","[-1, -1, 1, 0]",1,1
"Expresses concern at the continuing tensions in the Eastern Mediterranean, and underlines that disputes should be resolved peacefully in accordance with applicable international law, remains convinced of the many important benefits, including economic benefits, for all Cypriots and the wider region that would flow from a comprehensive and durable settlement, reiterates the Secretary-Generals previous call to avoid escalatory steps, and further calls upon the leaders of the two Cypriot communities and all involved parties to refrain from any actions and rhetoric that might damage the settlement process and that could raise tensions on the island;",3430,2723,Conflict parties,"['Conflict Parties', 'Secretary General']","[-1, 0]",1,1
"Demands that all parties other than those referred to in paragraph 2 (a) above with military capabilities in Ituri, in North Kivu or in South Kivu, help the Government of National Unity and Transition implement its commitments regarding disarmament, demobilization and reintegration of foreign and Congolese combatants, and regarding security sector reform;",3542,1596,Conflict parties,"['Conflict Parties', 'Government']","[-1, 1]",1,1
"Expressing grave concern at the ongoing humanitarian crisis in Somalia as a result of the drought and protracted conflict, expressing further concern about the number of refugees and internally displaced persons (IDPs), condemning in the strongest terms attacks against humanitarian and medical personnel, welcoming the efforts by the Federal Government of Somalia, Federal Member States, the United Nations and the response and generous support by donors to the humanitarian crisis and continued support to the humanitarian response plan, encouraging further cooperation with international and national humanitarian actors to relieve immediate need and contribute to the strengthening of resilience, including for IDPs,",3572,2461,Conflict parties,"['Conflict Parties', 'Refugees', 'Government', 'Member States', 'United Nations', 'Donors']","[-1, 0, 1, 1, 1, 1]",1,1
"Condemning the Al-Qaida network and other associated terrorist groups, for the multiple criminal, terrorist acts, aimed at causing the deaths of numerous innocent civilians, and the destruction of property,",3680,1390,Govt,['Terrorists'],[-1],1,1
"Further demands that all parties involved allow all humanitarian personnel full, safe and unhindered access to civilians in need of assistance and all necessary facilities for their operations, in accordance with international law, including applicable international humanitarian law, and United Nations guiding principles of humanitarian assistance;",3770,2352,Conflict parties,"['Conflict Parties', 'Non-State Actors']","[-1, 0]",1,1
"Expressing its concern about the situation in Laascaanood, situated in the Sool region of Northern Somalia, and surrounding areas, calling on all parties to continue to exercise restraint and encouraging peaceful dispute resolution, and recalling its Press Statement of 7 June 2023 welcoming the efforts and initiatives of the FGS, Ethiopia and clan elders,",3806,2705,Conflict parties,"['Conflict Parties', 'Government', 'Regional Stakeholders', 'Civil Society' ]","[-1, 1, 1, 1]",1,1
"Strongly condemns all violations and abuses committed against children in armed conflict in Somalia, including the increase in the number of cases of recruitment of children, attacks on schools, and of sexual violence perpetrated against children, demands that the parties to the conflict cease immediately all violations and abuses against children and calls on the FGS to hold perpetrators accountable and to implement fully the Convention of the Rights of the Child 1989, including by ratification of or accession to its Optional Protocols, and the Action Plans signed in 2012, the recently adopted Somali National Army Command Order on the Protection of Childrens Rights before, during and after operations, and the Standard Operation Procedures on the handover of children, and underscores the need to strengthen the legal and operational framework for the protection of children and to strengthen existing vetting mechanisms;",4259,2431,Conflict parties,"['Conflict Parties', 'Government']","[-1, 0]",1,1
"Takes note of the ceasefire agreement signed in Abuja on 10 November 2000 between the Government of Sierra Leone and the Revolutionary United Front (RUF) (S/2000/1091), expresses its concern at the failure of the RUF fully to meet their obligations under the agreement, and calls on them to give a more convincing demonstration of commitment to the ceasefire and the peace process;",4494,1334,Rebels,"['Government', 'Rebels']","[0, -1]",1,1
Expresses concern at the further continuing violations by the Turkish Cypriot side and Turkish forces at Strovilia and urges them to restore the military status quo which existed there prior to 30 June 2000;,4754,1517,Conflict parties,['Conflict Parties'],[-1],1,1
"Expressing concern that some signatories to the Peace Agreement continue to disregard their commitments, urging all signatories to implement the Peace Agreement in good faith and without delay, also urging all stakeholders in the CAR to engage in dialogue to make further progress toward peace, security, justice, reconciliation, inclusivity and development, and underscoring the need for international partners to support the implementation of the Peace Agreement and continue coordinating their actions with the CAR Government to bring lasting peace and stability to the CAR,",4796,2588,Conflict parties,"['Conflict Parties', 'Government']","[-1, 0]",1,1
"Demands that all parties allow complete, immediate, unconditional, safe and unhindered access for the United Nations and its implementing partners, in order to ensure that humanitarian assistance reaches people through the most direct route in order to meet basic needs, including the provision of medical care, consistent with the provisions of its resolution 2258 (2015) for the whole of Syria and respect and protect all civilians across Aleppo and throughout Syria; stresses that all parties must respect their obligations under international humanitarian law and, in particular, to respect and protect civilians and civilian objects;",5130,2328,Conflict parties,"['Conflict Parties', 'United Nations']","[-1, 0]",1,1
"Demands the parties cease any restrictions and hindrances to the movement of UNIFIL personnel and guarantee the freedom of movement of UNIFIL, including by allowing announced and unannounced patrols;",5290,2695,Conflict parties,"['Conflict Parties', 'Peacekeeping']","[-1, 0]",1,1
"Noting with concern continued polarizing unconstructive policies, actions and rhetoric in Bosnia and Herzegovina, and reiterating its calls to political leaders to advance reconciliation and mutual understanding,",5457,2496,Conflict parties,['Conflict Parties'],[-1],1,1
"Condemning all massacres and atrocities committed in the territory of the DRC and urging accountability for these actions,",5695,2746,Conflict parties,['Conflict Parties'],[-1],1,1
"Condemning in the strongest possible terms terrorist attacks in Somalia and neighbouring states, expressing deep concern at the loss of civilian life from these attacks, reiterating its determination to support comprehensive efforts to reduce the threat posed by Al-Shabaab, and urging Somalias leaders to work together on the fight against terrorism,",5884,2662,terrorists,"['Terrorists', 'Government']","[-1, 1]",1,1
"Condemns all acts of violence, expresses great concern about the serious breaches and the sea, land and continuing air violations of the withdrawal line, and urges the parties to put an end to these violations, to refrain from any act or provocation that could further escalate the tension and to abide scrupulously by their obligation to respect the safety of UNIFIL and other United Nations personnel;",5957,1525,Conflict parties,"['Conflict Parties', 'Peacekeeping']","[-1, 0]",1,1
"Endorses the Cessation of Hostilities Agreements (CoH Agreements) accepted and signed by the Government of the Republic of South Sudan and SPLM in Opposition on 23 January 2014, 6 May 2014 and 9 May 2014;",6456,2206,Conflict parties,"['Government', 'Conflict Parties']","[0, 0]",1,1
"Reiterating its deep concern regarding the rapidly deteriorating security and humanitarian crisis in eastern DRC due to ongoing military activities of the 23 March Movement (M23),",6550,2076,Rebels,['Rebels'],[-1],1,1
"Deeply concerned that, although currently mostly calm, the general situation in the conflict zone remains very volatile,",6875,1339,Conflict parties,['Conflict Parties'],[-1],1,1
"Recognizes the need to continue investigating and prosecuting those who plan, organize, or illicitly finance or profit from pirate attacks off the coast of Somalia, including key figures of criminal networks involved in piracy, and to develop the capacity of Somali authorities to investigate and prosecute such persons, and the capacity of Somalias Financial Intelligence Unit to identify illicit financial activity and support the prosecution of pirate financiers, and urges States, working in conjunction with relevant international organizations, to adopt legislation to facilitate prosecution of suspected pirates off the coast of Somalia;",7012,2500,Rebels,"['Rebels', 'Government', 'Member States']","[-1, 0, 0]",1,1
"Reiterating its firm condemnation of all violations of human rights and international humanitarian law in Cte dIvoire,",7036,1795,Conflict parties,['Conflict Parties'],[-1],1,1
"Noting with concern the criminal misuse of information and communications technologies, particularly the Internet, to facilitate the trafficking of persons, in particular the sale and trade, by certain terrorist groups and emphasizing the importance of countering such use as part of counter-terrorism efforts while respecting human rights and fundamental freedoms and in compliance with other obligations under international law,",7173,2331,terrorists,['Terrorists'],[-1],1,1
"Demands that the Government of Liberia immediately cease its support for the RUF in Sierra Leone and for other armed rebel groups in the region, and in particular take the following concrete steps: (a) expel all RUF members from Liberia, including such individuals as are listed by the Committee established by paragraph 14 below, and prohibit all RUF activities on its territory, provided that nothing in this paragraph shall oblige Liberia to expel its own nationals from its territory; (b) cease all financial and, in accordance with resolution 1171 (1998), military support to the RUF, including all transfers of arms and ammunition, all military training and the provision of logistical and communications support, and take steps to ensure that no such support is provided from the territory of Liberia or by its nationals; (c) cease all direct or indirect import of Sierra Leone rough diamonds which are not controlled through the Certificate of Origin regime of the Government of Sierra Leone, in accordance with resolution 1306 (2000); (d) freeze funds or financial resources or assets that are made available by its nationals or within its territory directly or indirectly for the benefit of the RUF or entities owned or controlled directly or indirectly by the RUF; (e) ground all Liberia-registered aircraft operating within its jurisdiction until it updates its register of aircraft pursuant to Annex VII to the Chicago Convention on International Civil Aviation of 1944 and provides to the Council the updated information concerning the registration and ownership of each aircraft registered in Liberia;",7251,1343,Govt,"['Government', 'Rebels']","[-1, -1]",1,1
"Condemns all violations and abuses committed against children by all parties in Somalia, calls for the immediate cessation of such violations and abuses and for those responsible to be held to account, and requests the FGS and AMISOM to protect and treat as victims those children who have been released or otherwise separated from armed forces and armed groups, including through the full implementation of standard operating procedures for the protection and handover of these children;",7854,2182,Conflict parties,"['Conflict Parties', 'Government', 'Peacekeeping']","[-1, 0, 0]",1,1
"Expressing its deep concern regarding the threat posed by the presence of M23 in the immediate vicinity of the city of Goma in violation of resolution 2076 (2012), as well as the continuation of serious violations of international humanitarian law and abuses of human rights by the M23 and other armed groups,",7922,2098,Conflict parties,['Rebels'],[-1],1,1
"Strongly condemns the continued presence of the M23 in the immediate vicinity of Goma and its attempts to establish an illegitimate parallel administration in North-Kivu, demands that the M23 cease immediately all forms of violence and destabilizing activities and that its members immediately and permanently disband and lay down their arms, and calls for the restoration of state authority of the Government of the DRC in Goma and in North-Kivu;",7952,2098,Rebels,['Rebels'],[-1],1,1
"Recalling all its relevant resolutions on women, peace and security, on youth, peace and security, on children and armed conflict, and on the protection of civilians in armed conflict, welcoming efforts of the Government of the DRC in this regard and to implement resolution 1325 (2000), stressing the importance of localized approaches to addressing womens needs in conflict, also recalling the conclusions on children and armed conflict in the DRC adopted on 19 December 2022 by the Security Council Working Group on Children and Armed Conflict pertaining to the parties in armed conflicts of the DRC, expressing grave concern over the high number of violations and abuses against children, in particular the increase in recruitment and use, as well as sexual and gender-based violence being committed by armed groups and some members of the security forces and calling on all actors to contribute to the rehabilitation and reintegration of children formerly associated with armed groups and forces,",8010,2717,conflict parties,"['Government', 'Conflict Parties']","[0, -1]",1,1
"Condemning the continuing illicit flow of weapons within and into the Democratic Republic of the Congo, and declaring its determination to closely monitor compliance with the arms embargo imposed by its resolution 1493 of 28 July 2003,",8293,1552,Rebels,['Rebels'],[-1],1,1
"Demands that all parties involved allow, in accordance with international law, including applicable international humanitarian law, all humanitarian personnel full, safe and unhindered access to civilians in need of assistance and all necessary facilities for their operations, consistent with United Nations guiding principles of humanitarian assistance, including humanity, impartiality, neutrality, and independence;",8549,2609,Conflict parties,"['Conflict Parties', 'Civil Society']","[-1, 0]",1,1
